tool_name,n,mean_score,score3_rate,negative_rate
CPTIME&&Chunk,1,-3.0,0.0,100.0
CarbonFootprint&&AirQualityHealthIndex,1,-3.0,0.0,100.0
CarbonSutra&&Fuel Consumption Estimate,1,-3.0,0.0,100.0
CatchLoc&&Checking Section definition Location Data API,1,-3.0,0.0,100.0
Check Credit Card&&Check,1,-3.0,0.0,100.0
Check Disposable Email&&emailValidation,1,-3.0,0.0,100.0
CheckThatPhone&&/checkthatphone,1,-3.0,0.0,100.0
Chemical Configurations&&predict_predit__post,1,-3.0,0.0,100.0
Chemistionary&&basic,1,-3.0,0.0,100.0
CoinLore Cryptocurrency&&Get exchange pairs,1,-3.0,0.0,100.0
Coinpaprika&&Exchanges for coin,1,-3.0,0.0,100.0
Colorful&&Get a random color,1,-3.0,0.0,100.0
Colorful&&Get random named color,1,-3.0,0.0,100.0
CriptoBot BR&&Get One Pair,1,-3.0,0.0,100.0
Crypto Exchanges&&Asset History by ID,1,-3.0,0.0,100.0
Crypto Exchanges&&Asset by ID,1,-3.0,0.0,100.0
Crypto Exchanges&&Exchange by ID,1,-3.0,0.0,100.0
Crypto Market Data APIs&&Historical Data by exchange assets pair,1,-3.0,0.0,100.0
Crypto Volatility Index&&Period,1,-3.0,0.0,100.0
Crypto address validator&&isAddressValid,1,-3.0,0.0,100.0
CryptoCator&&ConnorsRSI,1,-3.0,0.0,100.0
CryptoCator&&On-Balance Volume (OBV),1,-3.0,0.0,100.0
CryptoCator&&Triple EMA Oscillator (TRIX),1,-3.0,0.0,100.0
CryptoCator&&Williams Alligator,1,-3.0,0.0,100.0
CryptoCator&&Williams Fractal,1,-3.0,0.0,100.0
Dammy-Task&&Login,1,-3.0,0.0,100.0
Dammy-Task&&LogoutAll,1,-3.0,0.0,100.0
Dammy-Task&&Read profile,1,-3.0,0.0,100.0
Dammy-Task&&Readtask,1,-3.0,0.0,100.0
Dammy-Task&&readtasks,1,-3.0,0.0,100.0
Detoxify&&Check toxicity score,1,-3.0,0.0,100.0
DiscordBot&&deleteWebhook,1,-3.0,0.0,100.0
DiscordBot&&getAccessToken,1,-3.0,0.0,100.0
Disposable Gmail&&Generate Gmail,1,-3.0,0.0,100.0
Disposable Gmail&&Inbox,1,-3.0,0.0,100.0
Disposable Gmail&&Message,1,-3.0,0.0,100.0
DocTop&&English topics,1,-3.0,0.0,100.0
Dog Facts&&facts,1,-3.0,0.0,100.0
DogDummyAPI&&Get all colors,1,-3.0,0.0,100.0
DogDummyAPI&&Limits dogs result,1,-3.0,0.0,100.0
Dogs by API-Ninjas&&/v1/dogs,1,-3.0,0.0,100.0
Dribbble&&getSingleUser,1,-3.0,0.0,100.0
E-mail Check Invalid or Disposable Domain_v2&&mailcheck,1,-3.0,0.0,100.0
Email Verify&&Verify Email,1,-3.0,0.0,100.0
Emlalock&&Add,1,-3.0,0.0,100.0
Emlalock&&AddMaximum,1,-3.0,0.0,100.0
Emlalock&&AddMaximumRandom,1,-3.0,0.0,100.0
Emlalock&&AddMinimum,1,-3.0,0.0,100.0
Emlalock&&AddRandom,1,-3.0,0.0,100.0
Emlalock&&SubMaximumRandom,1,-3.0,0.0,100.0
Emlalock&&SubMinimum,1,-3.0,0.0,100.0
Emlalock&&SubMinimumRandom,1,-3.0,0.0,100.0
Emlalock&&SubRandom,1,-3.0,0.0,100.0
Entity Detection & Linking&&entity_detection,1,-3.0,0.0,100.0
Fast Object Detection&&Get Coco Predictions,1,-3.0,0.0,100.0
Fast Object Detection&&Get MobileNet Predictions,1,-3.0,0.0,100.0
FlashLive Sports&&Player Transfers,1,-3.0,0.0,100.0
FlashLive Sports&&Team Transfers,1,-3.0,0.0,100.0
Fleep&&createAccount,1,-3.0,0.0,100.0
Flickr&&findPlace,1,-3.0,0.0,100.0
Flickr&&suggestLocation,1,-3.0,0.0,100.0
Food Calories&&all foods list,1,-3.0,0.0,100.0
Food Calories&&category by name,1,-3.0,0.0,100.0
Food Calories&&get food by name,1,-3.0,0.0,100.0
Football Score API&&get_football_live_scores_today,1,-3.0,0.0,100.0
Football Score API&&get_scores_for_given_date,1,-3.0,0.0,100.0
Forex Time&&Forex Time,1,-3.0,0.0,100.0
FortniteCosmetics&&searchInventory,1,-3.0,0.0,100.0
French NLU&&Extract NLU,1,-3.0,0.0,100.0
Freshdesk&&getSingleContact,1,-3.0,0.0,100.0
GST certificate OCR&&GST Certificate OCR,1,-3.0,0.0,100.0
Genius - Song Lyrics&&Artist Albums,1,-3.0,0.0,100.0
GeoApi&&/api/Geo/EndPoint,1,-3.0,0.0,100.0
GeoApi&&/api/Geo/IsWithinDistance,1,-3.0,0.0,100.0
GeoApi&&/api/Geo/MinDistance,1,-3.0,0.0,100.0
GeoPop&&get_buildings,1,-3.0,0.0,100.0
GeoRanker&&deleteSingleMonitor,1,-3.0,0.0,100.0
GeoRanker&&getMe,1,-3.0,0.0,100.0
GeoRanker&&getMonitors,1,-3.0,0.0,100.0
GeoRanker&&getSingleUser,1,-3.0,0.0,100.0
GeoSpark&&Users,1,-3.0,0.0,100.0
Geometric Calculation&&Polygon Combine,1,-3.0,0.0,100.0
Geometric Calculation&&Polygon Inner Offset,1,-3.0,0.0,100.0
Giphy&&STICKER Roulette,1,-3.0,0.0,100.0
Giphy&&Translate,1,-3.0,0.0,100.0
Giphy&&Trending GIFs,1,-3.0,0.0,100.0
Google Translate Text&&detectLanguage,1,-3.0,0.0,100.0
Google Translate Text&&supportedLanguages,1,-3.0,0.0,100.0
Google Translate Text&&textToSpeech,1,-3.0,0.0,100.0
Google Translate Text&&translateText,1,-3.0,0.0,100.0
HelloSign&&Add member,1,-3.0,0.0,100.0
HelloSign&&Create draft,1,-3.0,0.0,100.0
HelloSign&&Remove member,1,-3.0,0.0,100.0
Holtel Rectangle&&default,1,-3.0,0.0,100.0
Hotel Search&&default,1,-3.0,0.0,100.0
IDfy Verification Suite&&Face compare (sync),1,-3.0,0.0,100.0
IDfy Verification Suite&&Indian Pan Card Data Extraction,1,-3.0,0.0,100.0
IMDb&&title/get-coming-soon-movies,1,-3.0,0.0,100.0
Image recognition and prediction&&image_prediction_base64image_prediction_post,1,-3.0,0.0,100.0
Instagram_v2&&Search Locations,1,-3.0,0.0,100.0
JIRA&&createSelectFieldOption,1,-3.0,0.0,100.0
JIRA&&findUsersByProperty,1,-3.0,0.0,100.0
JIRA&&getSelectFieldOptions,1,-3.0,0.0,100.0
JIRA&&getSingleResolution,1,-3.0,0.0,100.0
Javascript Vulnerability Scan&&analyzeUrl,1,-3.0,0.0,100.0
Jikan&&Schedule,1,-3.0,0.0,100.0
Keyword Extraction&&Keyword Extraction for text,1,-3.0,0.0,100.0
Keyword in Picture&&Detect keywords within an image,1,-3.0,0.0,100.0
Kiann_Options_Project&&normal_call,1,-3.0,0.0,100.0
Languagelayer&&detectLanguages,1,-3.0,0.0,100.0
Lingulab&&Process Text Adv,1,-3.0,0.0,100.0
Lingulab&&Validate Authentication,1,-3.0,0.0,100.0
Location to Timezone&&Convert Coordinates to Timezone String,1,-3.0,0.0,100.0
MMAAPI&&TeamLastEvents,1,-3.0,0.0,100.0
MMAAPI&&TeamNextEvents,1,-3.0,0.0,100.0
MMAAPI&&TournamentLastMainEvents,1,-3.0,0.0,100.0
MMAAPI&&TournamentRnkingSummary,1,-3.0,0.0,100.0
Mailjet&&getSingleUser,1,-3.0,0.0,100.0
MapFanAPI - Route&&calcroute,1,-3.0,0.0,100.0
MapToolkit&&Routing Enhancement,1,-3.0,0.0,100.0
MapboxDirection&&getOptimalDriving,1,-3.0,0.0,100.0
Mapillary&&searchDetections,1,-3.0,0.0,100.0
Mathionary&&basic,1,-3.0,0.0,100.0
Microserv.io NLP Service&&LixReadability,1,-3.0,0.0,100.0
Microsoft Content Moderator&&Screen Text,1,-3.0,0.0,100.0
MonkeyLearn&&extractEntities,1,-3.0,0.0,100.0
MonkeyLearn&&extractKeywordsInEnglish,1,-3.0,0.0,100.0
MonkeyLearn&&extractTextFromHTML,1,-3.0,0.0,100.0
Morning Star&&market/v2/get-quotes (Deprecated),1,-3.0,0.0,100.0
Multilingual Text Analysis Bundle by Matnon&&Multilingual Noun Chunk Extractor,1,-3.0,0.0,100.0
Multilingual Text Analysis Bundle by Matnon&&Multilingual Stop Words Extractor,1,-3.0,0.0,100.0
MultipleTeamsCallingTest&&addPet,1,-3.0,0.0,100.0
MultipleTeamsCallingTest&&placeOrder,1,-3.0,0.0,100.0
My elevenlabs.io&&Delete_history_items_v1_history_delete_post,1,-3.0,0.0,100.0
My elevenlabs.io&&Download_history_items_v1_history_download_post,1,-3.0,0.0,100.0
My elevenlabs.io&&Text_to_speech_v1_text_to_speech__voice_id__stream_post,1,-3.0,0.0,100.0
MyFirstAPI&&Create Order,1,-3.0,0.0,100.0
MyFirstAPI&&Place Order,1,-3.0,0.0,100.0
NLP Services&&POS Tagger,1,-3.0,0.0,100.0
NLP&&Detect Main Phrases In Text,1,-3.0,0.0,100.0
NLP&&Keyword Ideas,1,-3.0,0.0,100.0
NSFW Filter API &&/image,1,-3.0,0.0,100.0
National Football Players&&All Teams,1,-3.0,0.0,100.0
National Football Players&&Player,1,-3.0,0.0,100.0
National Football Players&&Team Roster,1,-3.0,0.0,100.0
Nearby Places&&Nearby - (Google),1,-3.0,0.0,100.0
Number Sentence&&default,1,-3.0,0.0,100.0
Number of Words&&default,1,-3.0,0.0,100.0
Numbers&&Get trivia fact,1,-3.0,0.0,100.0
Nutri Score&&Convert kilojoules to kilocalories,1,-3.0,0.0,100.0
Nutri Score&&Converts kilocalories to kilojoules,1,-3.0,0.0,100.0
OS Sports Perform&&National team statistics,1,-3.0,0.0,100.0
OS Sports Perform&&Player photo,1,-3.0,0.0,100.0
OS Sports Perform&&Referee data,1,-3.0,0.0,100.0
OS Sports Perform&&Referee events,1,-3.0,0.0,100.0
OS Sports Perform&&Referee statistics,1,-3.0,0.0,100.0
OS Sports Perform&&Suggest,1,-3.0,0.0,100.0
OS Sports Perform&&Team logo,1,-3.0,0.0,100.0
OS Sports Perform&&Team recent form,1,-3.0,0.0,100.0
OnFleet&&getSingleWorker,1,-3.0,0.0,100.0
OnFleet&&testAuth,1,-3.0,0.0,100.0
Option Greeks&&Black Scholes Fair Market Value,1,-3.0,0.0,100.0
Option Greeks&&Option Rho,1,-3.0,0.0,100.0
Option Greeks&&Option Theta,1,-3.0,0.0,100.0
Option Greeks&&Option Third Order greeks,1,-3.0,0.0,100.0
Option Greeks&&Option Vega,1,-3.0,0.0,100.0
Ordering&&listLast,1,-3.0,0.0,100.0
Ordering&&splitLines,1,-3.0,0.0,100.0
Otapi Aliexpress&&Get Item Review,1,-3.0,0.0,100.0
Otapi Aliexpress&&Search for items,1,-3.0,0.0,100.0
PAN Card Verification&&PAN Card Verification,1,-3.0,0.0,100.0
PDF Color Page Counter&&Count Color and BW Pages,1,-3.0,0.0,100.0
PageQuotes&&Get book by genre,1,-3.0,0.0,100.0
PageQuotes&&Update book,1,-3.0,0.0,100.0
Paperlit&&Create push,1,-3.0,0.0,100.0
Paraphraser&&Summarize,1,-3.0,0.0,100.0
Passport Verification&&GET Call,1,-3.0,0.0,100.0
Passport Verification&&Passport Verification,1,-3.0,0.0,100.0
Pereless&&postrecruitteamexist,1,-3.0,0.0,100.0
Pitch Testing&&E6.courses/:id/assessments,1,-3.0,0.0,100.0
Pitch Testing&&I2.courses/:id/comments,1,-3.0,0.0,100.0
Plagiarism Detection API&&Create Job,1,-3.0,0.0,100.0
PointCalculation&&Translate Point,1,-3.0,0.0,100.0
Polish Personal Identification Numbers&&/passport/check,1,-3.0,0.0,100.0
Polish Personal Identification Numbers&&/passport/multicheck,1,-3.0,0.0,100.0
Polish Personal Identification Numbers&&/pesel/multicheck,1,-3.0,0.0,100.0
Portfolio Optimizer&&/factors/residualization,1,-3.0,0.0,100.0
Portfolio Optimizer&&/portfolio/optimization/maximum-decorrelation,1,-3.0,0.0,100.0
Portfolio Optimizer&&/portfolio/optimization/maximum-return/subset-resampling-based,1,-3.0,0.0,100.0
Portfolio Optimizer&&/portfolio/optimization/maximum-sharpe-ratio,1,-3.0,0.0,100.0
Portfolio Optimizer&&/portfolio/optimization/maximum-sharpe-ratio/subset-resampling-based,1,-3.0,0.0,100.0
Portfolio Optimizer&&/portfolio/optimization/maximum-ulcer-performance-index,1,-3.0,0.0,100.0
Portfolio Optimizer&&/portfolio/optimization/minimum-ulcer-index,1,-3.0,0.0,100.0
Portfolio Performance and Risk Analytics - Basic&&Calculate the Calmar Ratio of a Portfolio or a basket of investment based on its MV,1,-3.0,0.0,100.0
Portfolio Performance and Risk Analytics - Basic&&Calculate the periodic investment volatility based on periodic returns and frequencies,1,-3.0,0.0,100.0
Power Assist&&WordCount,1,-3.0,0.0,100.0
Price Analytics&&Start search by gtin,1,-3.0,0.0,100.0
Price Analytics&&Start search by term,1,-3.0,0.0,100.0
Proo&&postconversation,1,-3.0,0.0,100.0
Proxycurl&&Reverse Work Email Lookup Endpoint,1,-3.0,0.0,100.0
Quatity Words&&default,1,-3.0,0.0,100.0
QuickBooksAccounting&&queryEstimate,1,-3.0,0.0,100.0
Random Quotes V1&&Quotes,1,-3.0,0.0,100.0
RaterBayes&&Compare ratings directly,1,-3.0,0.0,100.0
Ready??2.0&&addPet,1,-3.0,0.0,100.0
Ready??2.0&&placeOrder,1,-3.0,0.0,100.0
Redactor Detector&&Blur Faces,1,-3.0,0.0,100.0
Redactor Detector&&Redact Raw Text,1,-3.0,0.0,100.0
Redtie&&Create,1,-3.0,0.0,100.0
ReelTorrent&&Search Movies,1,-3.0,0.0,100.0
Response WebHook&&myresponsereceiver,1,-3.0,0.0,100.0
Riddlie &&Update Level,1,-3.0,0.0,100.0
RushTranslate&&Get Order,1,-3.0,0.0,100.0
SIMPLE ENCRYPTION  Daddy&&Reverse Numeric,1,-3.0,0.0,100.0
SMSPortal&&Subscribe to Replies,1,-3.0,0.0,100.0
SONOTELLER.AI&&Music Analysis,1,-3.0,0.0,100.0
Scene Classification&&Scene classification from image,1,-3.0,0.0,100.0
Semantic Analysis&&Concepts_Extraction_v1_concepts_extract_post,1,-3.0,0.0,100.0
Semantic Analysis&&Text_Paragraphizer_v1_text_paragraphizer_post,1,-3.0,0.0,100.0
Sentence Case Converter by Capitalize My Title&&Sentence Case,1,-3.0,0.0,100.0
Sentiment&&/sentiments,1,-3.0,0.0,100.0
Sentimental Analysis&&Predict,1,-3.0,0.0,100.0
SerpWow&&Google Search,1,-3.0,0.0,100.0
SerpWow&&Google Shopping Search,1,-3.0,0.0,100.0
Sharp Odds Maker API&&Calculate Combo Odds - Uses 2 Calls,1,-3.0,0.0,100.0
Shopping Data API&&https://shopping-data-api.onrender.com/api/show-all-accessories,1,-3.0,0.0,100.0
Shopping Data API&&https://shopping-data-api.onrender.com/api/show-all-bags,1,-3.0,0.0,100.0
Shopping Data API&&https://shopping-data-api.onrender.com/api/show-all-dresses,1,-3.0,0.0,100.0
Shopping Data API&&https://shopping-data-api.onrender.com/api/show-all-products,1,-3.0,0.0,100.0
Shopping Data API&&https://shopping-data-api.onrender.com/api/show-all-shoes,1,-3.0,0.0,100.0
ShoppingDeals&&Get deals in ascending order of deal price,1,-3.0,0.0,100.0
Simple Math Problems&&Get Addition Problems,1,-3.0,0.0,100.0
Simple Math Problems&&Get Division Problems,1,-3.0,0.0,100.0
Simple Math Problems&&Get Subtraction Problems,1,-3.0,0.0,100.0
Slots Machine Reels Landing&&Get Stops For Reels,1,-3.0,0.0,100.0
SmartSoils&&predict_composante,1,-3.0,0.0,100.0
Soccer Livescore&&Finished matches,1,-3.0,0.0,100.0
SofaScores&&Form,1,-3.0,0.0,100.0
SofaScores&&Odds winning,1,-3.0,0.0,100.0
SofaScores&&Predict,1,-3.0,0.0,100.0
SofaScores&&Rounds (esports),1,-3.0,0.0,100.0
SofaScores&&Search transfers,1,-3.0,0.0,100.0
SofaScores&&Shotmap,1,-3.0,0.0,100.0
SofaSport&&Odds winning,1,-3.0,0.0,100.0
SpamPatrol&&Analyze,1,-3.0,0.0,100.0
SpinMeNot&&detect,1,-3.0,0.0,100.0
Sport Odds&&GetEventExternalInfo,1,-3.0,0.0,100.0
Spotify Data&&artist-overview,1,-3.0,0.0,100.0
Spotify Data&&search,1,-3.0,0.0,100.0
Stacks Patent Similarity&&eligibility_post_v1_101_eligibility_predict_post,1,-3.0,0.0,100.0
Stacks Patent Similarity&&get_infringement_v1_infringement_research_predict_get,1,-3.0,0.0,100.0
Stacks Patent Similarity&&post_infringement_clearance_v1_patent_analytics_clearance_post,1,-3.0,0.0,100.0
String Similarity Comparison&&String Comparison Algorithm (POST),1,-3.0,0.0,100.0
String of Motivation&&default,1,-3.0,0.0,100.0
Sudoku Service&&Solve,1,-3.0,0.0,100.0
Sudoku Solver App&&Sudoku Solver,1,-3.0,0.0,100.0
Summarize&&Summarize,1,-3.0,0.0,100.0
Supportnresistance&&Monthly,1,-3.0,0.0,100.0
Supportnresistance&&Weekly,1,-3.0,0.0,100.0
TAOBAO TMALL 1688&&Get item detail,1,-3.0,0.0,100.0
Tabela Fipe Simples&&/tabelafipe,1,-3.0,0.0,100.0
Taobao Tmall advanced product data&&get item detail by item_id,1,-3.0,0.0,100.0
Telegram Messaging&&Send Message Multiple Chats,1,-3.0,0.0,100.0
Telegram Messaging&&Send Message One Chat,1,-3.0,0.0,100.0
TempProject&&end,1,-3.0,0.0,100.0
Text Analyzer API&&analyze,1,-3.0,0.0,100.0
Text Analyzer poweredby GPT&&Erotic quantifier,1,-3.0,0.0,100.0
TextAPI&&Display Entities,1,-3.0,0.0,100.0
TextAnalysisAPI&&Similarity,1,-3.0,0.0,100.0
TextGears&&Create exception,1,-3.0,0.0,100.0
TextGears&&Readability,1,-3.0,0.0,100.0
TheClique&&Get Artist Overview,1,-3.0,0.0,100.0
Ticketmaster&&getOptions,1,-3.0,0.0,100.0
Ticketmaster&&getPayments,1,-3.0,0.0,100.0
Toxicity & Profanity Detection AI-Hate Detection on Comments&&Get Toxicity Score,1,-3.0,0.0,100.0
Tradingview TA API (Technical Analysis)&&Get Intervals,1,-3.0,0.0,100.0
Truth Dare&&Get Truth,1,-3.0,0.0,100.0
Truth Dare&&Get Truth NSFW,1,-3.0,0.0,100.0
Twelve Data&&LINEARREGANGLE,1,-3.0,0.0,100.0
Twelve Data&&ROCR,1,-3.0,0.0,100.0
Twelve Data&&TRIMA,1,-3.0,0.0,100.0
Twinword Text Analysis Bundle&&Text (post),1,-3.0,0.0,100.0
Twitter&&Tweet Replies,1,-3.0,0.0,100.0
Unscramble&&Unscramble,1,-3.0,0.0,100.0
VALUE SERP&&Google Shopping,1,-3.0,0.0,100.0
Validate VAT Number&&VAT validation API endpoint,1,-3.0,0.0,100.0
Video Builder&&video/{videoId},1,-3.0,0.0,100.0
Voter Card OCR&&GET API,1,-3.0,0.0,100.0
Voter Card OCR&&Voter Card OCR,1,-3.0,0.0,100.0
Web Scrapper&&go,1,-3.0,0.0,100.0
Webit Text Analytics&&Key Phrases,1,-3.0,0.0,100.0
WhatsApp Profile API&&checkNumber,1,-3.0,0.0,100.0
Woosmap&&getRoute,1,-3.0,0.0,100.0
Word Count API&&getWordCount,1,-3.0,0.0,100.0
Word Count API&&postWordCount,1,-3.0,0.0,100.0
Wordle Breaker&&Get First Letter,1,-3.0,0.0,100.0
Wordle Breaker&&Today's Answer,1,-3.0,0.0,100.0
Wordle Game API&&check answer,1,-3.0,0.0,100.0
Wordle Game API&&today word,1,-3.0,0.0,100.0
World Country&&Get Regions,1,-3.0,0.0,100.0
World Country&&Get Sub Regions,1,-3.0,0.0,100.0
Wyjyt - Geo Calculate&&Convert,1,-3.0,0.0,100.0
Wyjyt - Geo Calculate&&Distance,1,-3.0,0.0,100.0
Wyjyt - Geo Calculate&&Fence,1,-3.0,0.0,100.0
Wyjyt - Geo Calculate&&Sky,1,-3.0,0.0,100.0
Yahoo Weather&&Search by location,1,-3.0,0.0,100.0
Yummly&&tags/list,1,-3.0,0.0,100.0
ZendeskCore&&createTrigger,1,-3.0,0.0,100.0
ZendeskCore&&deleteSchedule,1,-3.0,0.0,100.0
ZendeskCore&&updateTrigger,1,-3.0,0.0,100.0
api.kraken&&AssetPairs,1,-3.0,0.0,100.0
badword&&default,1,-3.0,0.0,100.0
calculateemi&&getMyEmi,1,-3.0,0.0,100.0
calculator&&add,1,-3.0,0.0,100.0
crossref&&DOI,1,-3.0,0.0,100.0
crossref&&Search,1,-3.0,0.0,100.0
data-extractor&&extract-urls,1,-3.0,0.0,100.0
eventor&&Delete Event,1,-3.0,0.0,100.0
eventor&&Get Event Data,1,-3.0,0.0,100.0
faceBlur&&predict,1,-3.0,0.0,100.0
foo&&task complete post,1,-3.0,0.0,100.0
geojoins&&intersects,1,-3.0,0.0,100.0
geojoins&&overlaps,1,-3.0,0.0,100.0
geojoins&&within,1,-3.0,0.0,100.0
hotelgeo&&default,1,-3.0,0.0,100.0
marketstack&&get,1,-3.0,0.0,100.0
miru&&getAllIntervals,1,-3.0,0.0,100.0
mymappi&&Direct Geocoding,1,-3.0,0.0,100.0
mymappi&&Snap to road,1,-3.0,0.0,100.0
nectr&&ResetPassword,1,-3.0,0.0,100.0
nectr&&RewindPeople,1,-3.0,0.0,100.0
nectr&&SuggestedPeople,1,-3.0,0.0,100.0
paytend&&getPartnerAccountUsingPOST,1,-3.0,0.0,100.0
paytend&&queryPartnerRechargeListUsingPOST,1,-3.0,0.0,100.0
plaidhook&&webhook,1,-3.0,0.0,100.0
plot2txt&&Binarize,1,-3.0,0.0,100.0
plot2txt&&Bounding box,1,-3.0,0.0,100.0
plot2txt&&Get circles,1,-3.0,0.0,100.0
plot2txt&&Group colors,1,-3.0,0.0,100.0
plot2txt&&Simple scatter plot,1,-3.0,0.0,100.0
plot2txt&&Thinner,1,-3.0,0.0,100.0
quotsy&&get_quotes,1,-3.0,0.0,100.0
rafa&&default,1,-3.0,0.0,100.0
random mockup person&&getListPerson,1,-3.0,0.0,100.0
random- fact&&postRandomHumman,1,-3.0,0.0,100.0
randomness&&fact,1,-3.0,0.0,100.0
ratelimiter&&invokeRateLimiter,1,-3.0,0.0,100.0
rawo&&default,1,-3.0,0.0,100.0
reca&&default,1,-3.0,0.0,100.0
sharanz-restraunt-api&&get veg data,1,-3.0,0.0,100.0
smart locations&&get-location,1,-3.0,0.0,100.0
sportapi&&GetEventExternalInfo,1,-3.0,0.0,100.0
test&&end,1,-3.0,0.0,100.0
test-api&&Ai Quote,1,-3.0,0.0,100.0
testpp&&Time Feth_copy,1,-3.0,0.0,100.0
ticketpocket&&get_myorder,1,-3.0,0.0,100.0
ticketpocket&&get_order,1,-3.0,0.0,100.0
ticketpocket&&get_order_list,1,-3.0,0.0,100.0
ticketpocket&&operator_list,1,-3.0,0.0,100.0
uniswap-v2-api&&/uniswapFactory,1,-3.0,0.0,100.0
unogsNG&&Expiring,1,-3.0,0.0,100.0
vof&&default,1,-3.0,0.0,100.0
