pattern_type,pattern,size,example_qids
prefix,user i'm a food enthusiast and,125,PartII_question_3240 | PartII_question_3678 | PartII_question_3941 | PartII_question_4127 | PartII_question_4191 | PartII_question_5035 | PartII_question_5501 | PartII_question_6035 | PartII_question_6869 | PartII_question_6875
prefix,user i'm organizing a music themed,125,PartII_question_3457 | PartII_question_3749 | PartII_question_3871 | PartII_question_4479 | PartII_question_5330 | PartII_question_5856 | PartII_question_6840 | PartII_question_7387 | PartII_question_8035 | PartII_question_8378
prefix,user i'm a language enthusiast and,124,PartII_question_2835 | PartII_question_4328 | PartII_question_4603 | PartII_question_5899 | PartII_question_6481 | PartII_question_6591 | PartII_question_7717 | PartII_question_8173 | PartII_question_8243 | PartII_question_8651
prefix,user i'm planning a solo trip,124,PartII_question_2693 | PartII_question_3062 | PartII_question_3118 | PartII_question_3336 | PartII_question_3447 | PartII_question_5255 | PartII_question_5499 | PartII_question_5912 | PartII_question_6191 | PartII_question_6613
prefix,user i'm planning a romantic dinner,123,PartII_question_3018 | PartII_question_3296 | PartII_question_5647 | PartII_question_6434 | PartII_question_6977 | PartII_question_7136 | PartII_question_8498 | PartII_question_9598 | PartII_question_10422 | PartII_question_10435
prefix,user i am organizing a charity,118,PartII_question_5118 | PartII_question_6829 | PartII_question_7222 | PartII_question_7459 | PartII_question_7944 | PartII_question_8517 | PartII_question_9100 | PartII_question_9486 | PartII_question_9707 | PartII_question_9849
prefix,user i would like to know,117,MTU_MSTS_question_138 | PartII_question_2930 | PartII_question_4408 | PartII_question_5227 | PartII_question_6444 | PartII_question_7220 | PartII_question_7243 | PartII_question_7635 | PartII_question_7645 | PartII_question_8261
prefix,user i'm a social media manager,117,PartII_question_4464 | PartII_question_4683 | PartII_question_4960 | PartII_question_5371 | PartII_question_5671 | PartII_question_5745 | PartII_question_6990 | PartII_question_7412 | PartII_question_7816 | PartII_question_8945
prefix,user i want to stay updated,115,PartII_question_3043 | PartII_question_4386 | PartII_question_5263 | PartII_question_7166 | PartII_question_7172 | PartII_question_8194 | PartII_question_8475 | PartII_question_8612 | PartII_question_9889 | PartII_question_9979
prefix,user i want to explore different,113,PartII_question_3017 | PartII_question_3154 | PartII_question_3226 | PartII_question_6139 | PartII_question_8331 | PartII_question_8386 | PartII_question_8994 | PartII_question_9515 | PartII_question_9689 | PartII_question_9762
prefix,user i'm planning a romantic getaway,113,PartII_question_2719 | PartII_question_3873 | PartII_question_4131 | PartII_question_4582 | PartII_question_4797 | PartII_question_5933 | PartII_question_6957 | PartII_question_8583 | PartII_question_9708 | PartII_question_10665
prefix,user i want to learn more,111,PartII_question_5076 | PartII_question_9051 | PartII_question_10019 | PartII_question_10392 | PartII_question_11781 | PartII_question_12200 | PartII_question_12370 | PartII_question_12457 | PartII_question_12740 | PartII_question_12988
prefix,user i want to search for,111,MTU_MSTS_question_6 | MTU_MSTS_question_36 | MTU_MSTS_question_37 | MTU_MSTS_question_38 | MTU_MSTS_question_39 | MTU_MSTS_question_150 | MTU_MSTS_question_155 | MTU_MSTS_question_199 | PartII_question_4013 | PartII_question_5006
prefix,user i'm conducting a research project,111,PartII_question_3718 | PartII_question_5761 | PartII_question_5869 | PartII_question_6309 | PartII_question_7056 | PartII_question_7337 | PartII_question_8506 | PartII_question_8522 | PartII_question_10144 | PartII_question_13709
prefix,user i'm planning to start a,111,PartII_question_2882 | PartII_question_3793 | PartII_question_3907 | PartII_question_3965 | PartII_question_4439 | PartII_question_4955 | PartII_question_5771 | PartII_question_6844 | PartII_question_6892 | PartII_question_7680
prefix,user i am planning a vacation,109,PartII_question_3626 | PartII_question_4404 | PartII_question_4474 | PartII_question_6344 | PartII_question_7927 | PartII_question_8136 | PartII_question_8564 | PartII_question_10122 | PartII_question_11035 | PartII_question_11194
prefix,user i'm a big fan of,109,PartII_question_3866 | PartII_question_4821 | PartII_question_4964 | PartII_question_5458 | PartII_question_6118 | PartII_question_6145 | PartII_question_6198 | PartII_question_7086 | PartII_question_7674 | PartII_question_8660
prefix,here comes a perfectly valid argument,108,leaderboard_bbh_formal_fallacies_question_0 | leaderboard_bbh_formal_fallacies_question_2 | leaderboard_bbh_formal_fallacies_question_6 | leaderboard_bbh_formal_fallacies_question_7 | leaderboard_bbh_formal_fallacies_question_8 | leaderboard_bbh_formal_fallacies_question_12 | leaderboard_bbh_formal_fallacies_question_16 | leaderboard_bbh_formal_fallacies_question_17 | leaderboard_bbh_formal_fallacies_question_19 | leaderboard_bbh_formal_fallacies_question_20
prefix,user i'm planning to buy a,106,PartII_question_2894 | PartII_question_3246 | PartII_question_3905 | PartII_question_4010 | PartII_question_5095 | PartII_question_5269 | PartII_question_9163 | PartII_question_9635 | PartII_question_9768 | PartII_question_11469
prefix,user i'm organizing a trivia night,104,PartII_question_2757 | PartII_question_4278 | PartII_question_4324 | PartII_question_6621 | PartII_question_7449 | PartII_question_8448 | PartII_question_8626 | PartII_question_10611 | PartII_question_10613 | PartII_question_10897
prefix,user could you please fetch the,102,PartII_question_2767 | PartII_question_3091 | PartII_question_3128 | PartII_question_5078 | PartII_question_6718 | PartII_question_6759 | PartII_question_8080 | PartII_question_9302 | PartII_question_12691 | PartII_question_13021
prefix,user i need to find a,101,MTU_MSTS_question_188 | MTU_MSTS_question_198 | MTU_MMTN_question_43 | MTU_MMTN_question_88 | PartII_question_2937 | PartII_question_6039 | PartII_question_6294 | PartII_question_6380 | PartII_question_7126 | PartII_question_7914
prefix,user i'm a small business owner,101,PartII_question_3045 | PartII_question_5989 | PartII_question_7621 | PartII_question_8072 | PartII_question_8108 | PartII_question_9671 | PartII_question_10083 | PartII_question_10488 | PartII_question_11202 | PartII_question_13355
prefix,user i'm a fitness enthusiast and,100,PartII_question_3450 | PartII_question_3843 | PartII_question_4818 | PartII_question_6241 | PartII_question_6857 | PartII_question_8158 | PartII_question_8474 | PartII_question_8894 | PartII_question_9716 | PartII_question_9825
prefix,user i'm writing an article on,99,PartII_question_3032 | PartII_question_3713 | PartII_question_4604 | PartII_question_6752 | PartII_question_8117 | PartII_question_8129 | PartII_question_9015 | PartII_question_10575 | PartII_question_10662 | PartII_question_11298
prefix,user i am looking for a,97,MTU_MSTS_question_40 | MTU_MSTS_question_41 | MTU_MSTS_question_66 | MTU_MSTS_question_67 | MTU_MSTS_question_68 | MTU_MSTS_question_69 | MTU_MSTS_question_70 | MTU_MSTS_question_109 | MTU_MSTS_question_110 | MTU_MSTS_question_111
prefix,user i need to create a,96,PartII_question_7229 | PartII_question_7995 | PartII_question_8119 | PartII_question_10924 | PartII_question_11461 | PartII_question_12294 | PartII_question_15562 | PartII_question_16215 | PartII_question_16724 | PartII_question_16920
prefix,user i'm organizing a family gathering,95,PartII_question_3598 | PartII_question_5239 | PartII_question_5874 | PartII_question_6726 | PartII_question_7097 | PartII_question_9868 | PartII_question_13158 | PartII_question_13432 | PartII_question_13439 | PartII_question_14057
prefix,user i'm organizing a music festival,94,PartII_question_4243 | PartII_question_4860 | PartII_question_5248 | PartII_question_5838 | PartII_question_6379 | PartII_question_6520 | PartII_question_6876 | PartII_question_7011 | PartII_question_7923 | PartII_question_9214
prefix,user my friend is planning a,94,PartII_question_4485 | PartII_question_4519 | PartII_question_5001 | PartII_question_6474 | PartII_question_6995 | PartII_question_10001 | PartII_question_12484 | PartII_question_14007 | PartII_question_14479 | PartII_question_15072
prefix,user i'm planning a company retreat,92,PartII_question_4065 | PartII_question_4082 | PartII_question_4987 | PartII_question_5703 | PartII_question_7133 | PartII_question_7685 | PartII_question_9634 | PartII_question_10051 | PartII_question_10244 | PartII_question_10310
prefix,which of the following is not,90,leaderboard_ifeval_question_414 | leaderboard_mmlu_pro_question_122 | leaderboard_mmlu_pro_question_323 | leaderboard_mmlu_pro_question_635 | leaderboard_mmlu_pro_question_737 | leaderboard_mmlu_pro_question_825 | leaderboard_mmlu_pro_question_866 | leaderboard_mmlu_pro_question_875 | leaderboard_mmlu_pro_question_1087 | leaderboard_mmlu_pro_question_1282
prefix,user i'm a fashion blogger and,88,PartII_question_3351 | PartII_question_3461 | PartII_question_3803 | PartII_question_5685 | PartII_question_7144 | PartII_question_8186 | PartII_question_9279 | PartII_question_10753 | PartII_question_12012 | PartII_question_12445
prefix,user can you give me the,87,PartII_question_84 | PartII_question_129 | PartII_question_171 | PartII_question_282 | PartII_question_283 | PartII_question_284 | PartII_question_3762 | PartII_question_4019 | PartII_question_4391 | PartII_question_5469
prefix,user my friend is planning to,87,PartII_question_5653 | PartII_question_6466 | PartII_question_7817 | PartII_question_9132 | PartII_question_9637 | PartII_question_10143 | PartII_question_10565 | PartII_question_11089 | PartII_question_11856 | PartII_question_13654
prefix,user i'm planning a romantic date,85,PartII_question_4216 | PartII_question_4791 | PartII_question_5353 | PartII_question_5539 | PartII_question_5697 | PartII_question_6279 | PartII_question_7132 | PartII_question_7346 | PartII_question_7764 | PartII_question_7990
prefix,user i want to compare the,84,PartII_question_3539 | PartII_question_4759 | PartII_question_4856 | PartII_question_5283 | PartII_question_6313 | PartII_question_6786 | PartII_question_8627 | PartII_question_8831 | PartII_question_10926 | PartII_question_11611
prefix,user i'm a teacher and i,84,PartII_question_3066 | PartII_question_3259 | PartII_question_5124 | PartII_question_6082 | PartII_question_6972 | PartII_question_7146 | PartII_question_7782 | PartII_question_8880 | PartII_question_9179 | PartII_question_9626
prefix,user i'm a teacher planning a,84,PartII_question_3469 | PartII_question_4392 | PartII_question_5505 | PartII_question_5929 | PartII_question_7113 | PartII_question_9420 | PartII_question_9701 | PartII_question_10656 | PartII_question_10847 | PartII_question_11288
prefix,user what is new in california,84,PartII_question_625 | PartII_question_648 | PartII_question_653 | PartII_question_660 | PartII_question_665 | PartII_question_688 | PartII_question_713 | PartII_question_750 | PartII_question_756 | PartII_question_762
prefix,user what is the date one,84,PartII_question_74231 | PartII_question_74245 | PartII_question_74275 | PartII_question_74279 | PartII_question_74284 | PartII_question_74287 | PartII_question_74294 | PartII_question_74314 | PartII_question_74332 | PartII_question_74339
prefix,user i'm looking for a new,83,PartII_question_6214 | PartII_question_8943 | PartII_question_9431 | PartII_question_9755 | PartII_question_12159 | PartII_question_13218 | PartII_question_14236 | PartII_question_14429 | PartII_question_17043 | PartII_question_17575
prefix,user i'm organizing a language learning,83,PartII_question_3375 | PartII_question_3434 | PartII_question_4345 | PartII_question_4466 | PartII_question_5272 | PartII_question_7336 | PartII_question_7395 | PartII_question_7601 | PartII_question_7810 | PartII_question_8242
prefix,user i'm a music journalist and,82,PartII_question_3267 | PartII_question_3593 | PartII_question_7098 | PartII_question_7756 | PartII_question_7903 | PartII_question_10089 | PartII_question_11757 | PartII_question_13271 | PartII_question_13598 | PartII_question_15000
prefix,user i'm a basketball coach and,81,PartII_question_3106 | PartII_question_3431 | PartII_question_3981 | PartII_question_5086 | PartII_question_6897 | PartII_question_7609 | PartII_question_8037 | PartII_question_8170 | PartII_question_8946 | PartII_question_9455
prefix,user i'm a financial advisor and,81,PartII_question_4492 | PartII_question_4907 | PartII_question_5169 | PartII_question_5348 | PartII_question_6575 | PartII_question_7406 | PartII_question_8226 | PartII_question_8843 | PartII_question_8878 | PartII_question_9536
prefix,user i'm hosting a dinner party,81,PartII_question_2714 | PartII_question_3868 | PartII_question_4238 | PartII_question_5614 | PartII_question_6623 | PartII_question_6735 | PartII_question_6956 | PartII_question_8212 | PartII_question_8687 | PartII_question_8691
prefix,user i'm redecorating my living room,81,PartII_question_2893 | PartII_question_8064 | PartII_question_8358 | PartII_question_9247 | PartII_question_11239 | PartII_question_12870 | PartII_question_13230 | PartII_question_15580 | PartII_question_15786 | PartII_question_16010
prefix,user can you assist me in,80,PartII_question_4133 | PartII_question_4195 | PartII_question_5315 | PartII_question_5372 | PartII_question_6491 | PartII_question_6493 | PartII_question_6802 | PartII_question_6979 | PartII_question_8948 | PartII_question_10545
prefix,user i'm planning a business trip,80,PartII_question_4610 | PartII_question_5830 | PartII_question_7777 | PartII_question_7962 | PartII_question_10005 | PartII_question_10508 | PartII_question_10634 | PartII_question_12766 | PartII_question_14028 | PartII_question_14864
prefix,user i'm planning a vacation and,80,PartII_question_4475 | PartII_question_4510 | PartII_question_4537 | PartII_question_5197 | PartII_question_7046 | PartII_question_7335 | PartII_question_9314 | PartII_question_9592 | PartII_question_10302 | PartII_question_11092
prefix,user i need to book a,79,PartII_question_5547 | PartII_question_7106 | PartII_question_10556 | PartII_question_24259 | PartII_question_34112 | PartII_question_37623 | PartII_question_38186 | PartII_question_52809 | PartII_question_52918 | PartII_question_61116
prefix,find a movie similar to the,78,leaderboard_bbh_movie_recommendation_question_4 | leaderboard_bbh_movie_recommendation_question_8 | leaderboard_bbh_movie_recommendation_question_11 | leaderboard_bbh_movie_recommendation_question_15 | leaderboard_bbh_movie_recommendation_question_18 | leaderboard_bbh_movie_recommendation_question_26 | leaderboard_bbh_movie_recommendation_question_32 | leaderboard_bbh_movie_recommendation_question_33 | leaderboard_bbh_movie_recommendation_question_34 | leaderboard_bbh_movie_recommendation_question_38
prefix,user i am interested in the,78,PartII_question_2796 | PartII_question_3117 | PartII_question_3156 | PartII_question_3484 | PartII_question_4283 | PartII_question_5414 | PartII_question_5756 | PartII_question_7069 | PartII_question_10032 | PartII_question_10659
prefix,user i'm a content creator and,78,PartII_question_3083 | PartII_question_4954 | PartII_question_5573 | PartII_question_5853 | PartII_question_6257 | PartII_question_9438 | PartII_question_9478 | PartII_question_11107 | PartII_question_16178 | PartII_question_16252
prefix,user i'm a fashion enthusiast and,78,PartII_question_3694 | PartII_question_4304 | PartII_question_4902 | PartII_question_5562 | PartII_question_5866 | PartII_question_6071 | PartII_question_7812 | PartII_question_8672 | PartII_question_9001 | PartII_question_9185
prefix,user i'm planning a surprise baby,78,PartII_question_3186 | PartII_question_6787 | PartII_question_9356 | PartII_question_9386 | PartII_question_9985 | PartII_question_10237 | PartII_question_13902 | PartII_question_14290 | PartII_question_14362 | PartII_question_16532
prefix,user i'm planning a family movie,76,PartII_question_6007 | PartII_question_7564 | PartII_question_7949 | PartII_question_8528 | PartII_question_10398 | PartII_question_11128 | PartII_question_11608 | PartII_question_11868 | PartII_question_12977 | PartII_question_14371
prefix,user i am starting a new,75,PartII_question_3182 | PartII_question_3211 | PartII_question_4448 | PartII_question_4705 | PartII_question_4870 | PartII_question_5304 | PartII_question_5668 | PartII_question_6524 | PartII_question_6988 | PartII_question_7124
prefix,user i need some inspiration for,75,PartII_question_4260 | PartII_question_4888 | PartII_question_5732 | PartII_question_6161 | PartII_question_6342 | PartII_question_8807 | PartII_question_9190 | PartII_question_9632 | PartII_question_9839 | PartII_question_10549
prefix,user i'm organizing a corporate event,75,PartII_question_2965 | PartII_question_4174 | PartII_question_4176 | PartII_question_5104 | PartII_question_5728 | PartII_question_6506 | PartII_question_6618 | PartII_question_7058 | PartII_question_7507 | PartII_question_7580
prefix,user could you please help me,74,MTU_MSTS_question_0 | MTU_MSTS_question_1 | MTU_MSTS_question_2 | MTU_MSTS_question_3 | MTU_MSTS_question_151 | MTU_MSTS_question_181 | MTU_MSTS_question_206 | PartII_question_4098 | PartII_question_4851 | PartII_question_4876
prefix,user my company is looking to,74,PartII_question_2923 | PartII_question_4634 | PartII_question_6688 | PartII_question_6764 | PartII_question_7793 | PartII_question_8482 | PartII_question_9275 | PartII_question_11500 | PartII_question_11651 | PartII_question_12043
prefix,user i am writing an article,73,PartII_question_5920 | PartII_question_9206 | PartII_question_9266 | PartII_question_9422 | PartII_question_10442 | PartII_question_11138 | PartII_question_11900 | PartII_question_14769 | PartII_question_14972 | PartII_question_18722
prefix,user my friend is starting a,73,PartII_question_4937 | PartII_question_5478 | PartII_question_5952 | PartII_question_6369 | PartII_question_8329 | PartII_question_8464 | PartII_question_9035 | PartII_question_9418 | PartII_question_9795 | PartII_question_10673
prefix,user i'm starting a new company,72,PartII_question_4171 | PartII_question_4707 | PartII_question_5638 | PartII_question_6587 | PartII_question_6813 | PartII_question_8333 | PartII_question_8940 | PartII_question_9531 | PartII_question_13984 | PartII_question_15419
prefix,user i need to gather information,71,PartII_question_6393 | PartII_question_8752 | PartII_question_11584 | PartII_question_11999 | PartII_question_14094 | PartII_question_16499 | PartII_question_17649 | PartII_question_17766 | PartII_question_20070 | PartII_question_22622
prefix,user i'm a movie enthusiast and,71,PartII_question_3763 | PartII_question_4458 | PartII_question_4527 | PartII_question_7187 | PartII_question_8884 | PartII_question_9629 | PartII_question_9810 | PartII_question_10495 | PartII_question_11590 | PartII_question_12626
prefix,user i need to plan a,70,PartII_question_5352 | PartII_question_7226 | PartII_question_8463 | PartII_question_11410 | PartII_question_14065 | PartII_question_14653 | PartII_question_15101 | PartII_question_18214 | PartII_question_18240 | PartII_question_19025
prefix,user i'm planning a vacation in,70,PartII_question_4429 | PartII_question_4583 | PartII_question_6788 | PartII_question_7055 | PartII_question_9628 | PartII_question_11460 | PartII_question_12698 | PartII_question_13743 | PartII_question_14638 | PartII_question_15290
prefix,user my company is looking for,70,PartII_question_2914 | PartII_question_6546 | PartII_question_8200 | PartII_question_8345 | PartII_question_8782 | PartII_question_9757 | PartII_question_11149 | PartII_question_15215 | PartII_question_15930 | PartII_question_15971
prefix,user i am planning to buy,69,PartII_question_3385 | PartII_question_3436 | PartII_question_3550 | PartII_question_4402 | PartII_question_4787 | PartII_question_5381 | PartII_question_7700 | PartII_question_8990 | PartII_question_9308 | PartII_question_9488
prefix,user i'm a basketball enthusiast and,69,PartII_question_2795 | PartII_question_6460 | PartII_question_14166 | PartII_question_15601 | PartII_question_16422 | PartII_question_17029 | PartII_question_17209 | PartII_question_18256 | PartII_question_18281 | PartII_question_19623
prefix,user i'm a football enthusiast and,69,PartII_question_3119 | PartII_question_4210 | PartII_question_4401 | PartII_question_4504 | PartII_question_7486 | PartII_question_7785 | PartII_question_7941 | PartII_question_8680 | PartII_question_9162 | PartII_question_9282
prefix,user i'm a game developer and,69,PartII_question_2979 | PartII_question_4607 | PartII_question_4629 | PartII_question_5320 | PartII_question_5683 | PartII_question_10156 | PartII_question_11169 | PartII_question_14685 | PartII_question_14969 | PartII_question_15662
prefix,user i'm in the mood for,69,MTU_MMTN_question_22 | PartII_question_6431 | PartII_question_7052 | PartII_question_7270 | PartII_question_8026 | PartII_question_8605 | PartII_question_9573 | PartII_question_12190 | PartII_question_15262 | PartII_question_16016
prefix,user i am a sports journalist,68,PartII_question_4014 | PartII_question_10406 | PartII_question_10923 | PartII_question_11151 | PartII_question_11655 | PartII_question_11656 | PartII_question_12368 | PartII_question_13317 | PartII_question_15353 | PartII_question_15538
prefix,user i need to know the,68,PartII_question_3655 | PartII_question_4461 | PartII_question_5061 | PartII_question_9764 | PartII_question_10072 | PartII_question_10293 | PartII_question_10731 | PartII_question_13561 | PartII_question_16583 | PartII_question_16633
prefix,user i'm hosting a company event,68,PartII_question_7450 | PartII_question_8622 | PartII_question_8804 | PartII_question_11876 | PartII_question_14260 | PartII_question_16323 | PartII_question_18373 | PartII_question_18956 | PartII_question_20162 | PartII_question_20747
prefix,user i'm organizing a language exchange,68,PartII_question_3072 | PartII_question_3960 | PartII_question_4257 | PartII_question_4557 | PartII_question_4788 | PartII_question_4932 | PartII_question_5700 | PartII_question_5963 | PartII_question_6485 | PartII_question_7219
prefix,user i'm a researcher studying the,67,PartII_question_5008 | PartII_question_5888 | PartII_question_6396 | PartII_question_6698 | PartII_question_7671 | PartII_question_8479 | PartII_question_8704 | PartII_question_14379 | PartII_question_14459 | PartII_question_15484
prefix,it is not always easy to,66,leaderboard_bbh_formal_fallacies_question_11 | leaderboard_bbh_formal_fallacies_question_13 | leaderboard_bbh_formal_fallacies_question_14 | leaderboard_bbh_formal_fallacies_question_25 | leaderboard_bbh_formal_fallacies_question_31 | leaderboard_bbh_formal_fallacies_question_33 | leaderboard_bbh_formal_fallacies_question_40 | leaderboard_bbh_formal_fallacies_question_45 | leaderboard_bbh_formal_fallacies_question_48 | leaderboard_bbh_formal_fallacies_question_54
prefix,user i'm writing a book and,66,PartII_question_3738 | PartII_question_5198 | PartII_question_7074 | PartII_question_8203 | PartII_question_10908 | PartII_question_10937 | PartII_question_11454 | PartII_question_13414 | PartII_question_14789 | PartII_question_14977
prefix,user my family is planning to,66,PartII_question_2777 | PartII_question_3123 | PartII_question_5394 | PartII_question_8856 | PartII_question_10320 | PartII_question_10756 | PartII_question_13011 | PartII_question_14144 | PartII_question_14676 | PartII_question_14947
prefix,user i am a travel blogger,65,PartII_question_4923 | PartII_question_6661 | PartII_question_7973 | PartII_question_8211 | PartII_question_10569 | PartII_question_12833 | PartII_question_13444 | PartII_question_14201 | PartII_question_17642 | PartII_question_18223
prefix,user can you please provide me,64,PartII_question_3864 | PartII_question_5433 | PartII_question_5725 | PartII_question_6374 | PartII_question_7498 | PartII_question_8264 | PartII_question_8732 | PartII_question_9675 | PartII_question_10328 | PartII_question_10832
prefix,user i want to invest in,64,PartII_question_2775 | PartII_question_3276 | PartII_question_3379 | PartII_question_3921 | PartII_question_6014 | PartII_question_7345 | PartII_question_7915 | PartII_question_8206 | PartII_question_10336 | PartII_question_10408
prefix,user i want to retrieve the,64,PartII_question_3303 | PartII_question_5384 | PartII_question_5570 | PartII_question_6036 | PartII_question_6479 | PartII_question_6611 | PartII_question_10190 | PartII_question_11533 | PartII_question_12248 | PartII_question_13177
prefix,user i'm a car enthusiast and,64,PartII_question_3681 | PartII_question_5623 | PartII_question_6739 | PartII_question_6985 | PartII_question_10519 | PartII_question_10734 | PartII_question_12354 | PartII_question_16525 | PartII_question_20176 | PartII_question_21939
prefix,user i'm a travel agent and,64,PartII_question_4351 | PartII_question_4938 | PartII_question_5460 | PartII_question_7998 | PartII_question_8373 | PartII_question_10677 | PartII_question_13548 | PartII_question_16097 | PartII_question_16387 | PartII_question_17148
prefix,user i'm organizing a comedy show,64,PartII_question_2845 | PartII_question_3491 | PartII_question_5772 | PartII_question_7616 | PartII_question_8580 | PartII_question_9511 | PartII_question_9673 | PartII_question_12324 | PartII_question_13844 | PartII_question_18092
prefix,user my company is conducting a,64,PartII_question_3704 | PartII_question_4824 | PartII_question_6299 | PartII_question_7986 | PartII_question_8123 | PartII_question_9529 | PartII_question_11223 | PartII_question_12068 | PartII_question_12897 | PartII_question_12900
prefix,alice bob and claire are friends,63,leaderboard_bbh_tracking_shuffled_objects_three_objects_question_0 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_2 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_3 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_11 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_12 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_14 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_15 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_17 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_30 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_32
prefix,user i am a developer working,63,PartII_question_3735 | PartII_question_3991 | PartII_question_4463 | PartII_question_8408 | PartII_question_9662 | PartII_question_13390 | PartII_question_15740 | PartII_question_16058 | PartII_question_16385 | PartII_question_16696
prefix,user i want to improve my,63,PartII_question_2358 | PartII_question_6620 | PartII_question_7218 | PartII_question_10084 | PartII_question_14243 | PartII_question_14482 | PartII_question_14870 | PartII_question_15027 | PartII_question_17647 | PartII_question_18048
prefix,user i'm a journalist writing an,63,PartII_question_5988 | PartII_question_6761 | PartII_question_6895 | PartII_question_8374 | PartII_question_9326 | PartII_question_9575 | PartII_question_11173 | PartII_question_12734 | PartII_question_13564 | PartII_question_14656
prefix,user i'm organizing a music trivia,63,PartII_question_3223 | PartII_question_3288 | PartII_question_5141 | PartII_question_5215 | PartII_question_5336 | PartII_question_6955 | PartII_question_7539 | PartII_question_9426 | PartII_question_10348 | PartII_question_10651
prefix,alice bob and claire are on,62,leaderboard_bbh_tracking_shuffled_objects_three_objects_question_6 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_7 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_8 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_16 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_20 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_26 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_31 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_34 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_37 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_42
prefix,alice bob and claire are holding,61,leaderboard_bbh_tracking_shuffled_objects_three_objects_question_5 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_19 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_36 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_38 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_43 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_46 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_67 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_73 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_76 | leaderboard_bbh_tracking_shuffled_objects_three_objects_question_78
prefix,user i am conducting research on,61,PartII_question_4011 | PartII_question_4139 | PartII_question_5551 | PartII_question_7021 | PartII_question_7538 | PartII_question_10269 | PartII_question_10461 | PartII_question_10535 | PartII_question_12874 | PartII_question_13048
prefix,user i'm planning a trip with,61,PartII_question_3489 | PartII_question_3778 | PartII_question_6049 | PartII_question_8204 | PartII_question_9205 | PartII_question_11379 | PartII_question_12131 | PartII_question_12146 | PartII_question_12529 | PartII_question_12980
prefix,user i'm a stock market enthusiast,60,PartII_question_4219 | PartII_question_4496 | PartII_question_9040 | PartII_question_11192 | PartII_question_11987 | PartII_question_12355 | PartII_question_13327 | PartII_question_14772 | PartII_question_15717 | PartII_question_17466
prefix,user could you assist me in,59,MTU_MMTN_question_105 | PartII_question_4371 | PartII_question_5805 | PartII_question_6891 | PartII_question_7193 | PartII_question_7983 | PartII_question_9256 | PartII_question_13904 | PartII_question_14042 | PartII_question_14357
prefix,user i am curious about the,59,PartII_question_3013 | PartII_question_3621 | PartII_question_4043 | PartII_question_6315 | PartII_question_7308 | PartII_question_7932 | PartII_question_11277 | PartII_question_11315 | PartII_question_22221 | PartII_question_22528
prefix,user i'm a sports blogger and,59,PartII_question_4864 | PartII_question_6436 | PartII_question_8931 | PartII_question_9244 | PartII_question_11270 | PartII_question_16747 | PartII_question_17538 | PartII_question_18334 | PartII_question_18465 | PartII_question_18853
prefix,user i'm planning a music themed,59,PartII_question_2891 | PartII_question_5299 | PartII_question_5445 | PartII_question_6641 | PartII_question_6719 | PartII_question_6920 | PartII_question_7631 | PartII_question_8008 | PartII_question_8142 | PartII_question_8747
prefix,user i'm writing a comedy script,59,PartII_question_3468 | PartII_question_8618 | PartII_question_9216 | PartII_question_15946 | PartII_question_15963 | PartII_question_16093 | PartII_question_16878 | PartII_question_17042 | PartII_question_17358 | PartII_question_17808
prefix,user i am planning a hiking,58,PartII_question_4566 | PartII_question_9841 | PartII_question_10608 | PartII_question_11027 | PartII_question_13874 | PartII_question_15404 | PartII_question_20395 | PartII_question_21188 | PartII_question_24096 | PartII_question_30030
prefix,user i'm hosting a trivia night,58,PartII_question_4310 | PartII_question_4951 | PartII_question_5178 | PartII_question_7766 | PartII_question_11848 | PartII_question_13257 | PartII_question_17100 | PartII_question_17799 | PartII_question_20042 | PartII_question_20701
